model,origin,child_asin,colour,size,y_units,pred,lo,hi
heuristic,2023-01-01,B0BJDNDPJH,Textured - White Seersucker,King,12.0,25.974738170347006,6.71705900888614,93.28935278593923
heuristic,2023-01-01,B0BJDPLCHT,Textured - White Seersucker,Oversized King,11.0,8.544321766561515,1.5959688233381066,34.09059013525585
heuristic,2023-01-01,B0BP769CCH,White/Blue,Queen,3.0,40.09258675078865,10.86138773039781,141.3611405555544
heuristic,2023-01-01,B0BP76HL54,White/Ivory,King,12.0,30.470365930599375,8.036861454207564,108.59379391002024
heuristic,2023-01-01,B0BP76K7VY,White/Ivory,Oversized King,5.0,10.023146687697162,2.031169561925928,39.08675872994869
heuristic,2023-01-01,B0BP76KJ65,White/Gray,King,4.0,30.470365930599375,8.036861454207564,108.59379391002024
heuristic,2023-01-01,B0BP76Z81S,White/Ivory,Queen,15.0,40.09258675078865,10.86138773039781,141.3611405555544
heuristic,2023-01-01,B0BP77GWF1,White/Gray,Queen,13.0,40.09258675078865,10.86138773039781,141.3611405555544
heuristic,2023-01-01,B0BP77N52P,White/Blue,King,7.0,30.470365930599375,8.036861454207564,108.59379391002024
heuristic,2023-01-01,B0BP77RMF9,White/Gray,Oversized King,6.0,10.023146687697162,2.031169561925928,39.08675872994869
heuristic,2023-01-01,B0BP79YY1H,White/Blue,Oversized King,2.0,10.023146687697162,2.031169561925928,39.08675872994869
naive_family,2023-01-01,B0B7B9W8ZH,Textured - Cream Boho Tufted,Oversized King,43.0,102.84810126582278,13.891792424294843,723.1860367945092
naive_family,2023-01-01,B0BJDKYW2W,Textured - Cream Boho Tufted,King,22.0,171.828025477707,23.824454631362887,1202.2299131674044
naive_family,2023-01-01,B0BJDMVDWF,Textured - White Seersucker,Queen,5.0,155.68685376661745,21.500243221677042,1090.1335447089225
naive_family,2023-01-01,B0BJDMYTZG,Textured - Cream Boho Tufted,Queen,24.0,131.0897435897436,17.95842637345816,919.3137442900331
